id,title,category,course_url
9287,Microsoft Excel 2010 Course Beginners/ Intermediate Training,Office Productivity,/course/excel-tutorial/
9385,Microsoft Excel 2010: Advanced Training,Office Productivity,/course/advanced-excel/
9711,Beginner PHP and MySQL Tutorial,Development,/course/php-mysql-tutorial/
10449,"Spanish 1-4: Beginner, Elementary, Intermediate and Advanced",Teaching & Academics,/course/spanish-101-beginning-spanish-spanish-for-beginners/
10812,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,IT & Software,/course/ccna-on-demand-video-boot-camp/
11331,SEO Training Course by Moz,Marketing,/course/whiteboard-seo/
11475,"Become a Certified HTML, CSS, JavaScript Web Developer",Development,/course/become-a-certified-web-developer/
12248,"Copywriting - Become a Freelance Copywriter, your own boss",Marketing,/course/how-to-become-a-copywriter-from-home/
13034,Operations Management,Business,/course/operations-management/
13019,Foundations of Business Strategy,Business,/course/foundations-of-business-strategy/
13391,The Neuroscience of Reframing & How to Do It,Teaching & Academics,/course/the-neuroscience-of-reframing-and-how-to-do-it/
14255,Gephi 中文教程,Design,/course/gephi/
15036,Free CCNA Security 210-260 Course:  All About VPNs,IT & Software,/course/ccnasecuritypreview/
15392,Photography - Become a Better Photographer - Part I,Photography & Video,/course/great-photography-tips-photo-tutorials/
15639,Photoshop for Web Design Beginners,Design,/course/photoshop-for-web-design-beginners/
15794,How to Create an Awesome Online Course,Teaching & Academics,/course/how-to-create-an-awesome-online-course/
16429,CCNP All-in-1 Video Boot Camp With Chris Bryant,IT & Software,/course/ccnpallinone/
16799,Photoshop Master Course: From Beginner to Photoshop Pro,Design,/course/supreme-photoshop-training-from-beginner-to-expert/
17349,Figure Drawing From Life Using The Reilly Technique.,Design,/course/figure-drawing-from-life-using-the-reilly-technique/
17482,Introduction to Web and eCommerce User eXperience Design,Design,/course/introduction-to-web-and-ecommerce-user-experience-design/
18617,Learn Salesforce in easy steps and get certified!,IT & Software,/course/learn-salesforce-in-easy-steps-and-get-certified/
19332,The Complete 2020 Fullstack Web Developer Course,Development,/course/thecompletewebdeveloper/
19645,Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.,Personal Development,/course/market-your-message-ignite-curiosity-inspire-action/
20176,Social Media Management,Marketing,/course/social-media-for-business/
20365,SAP ABAP Programming For Beginners - Online Training,Office Productivity,/course/sap-abap-programming-for-beginners/
20869,SEO Training,Marketing,/course/search-engine-optimization-for-business/
21386,Beginner Photoshop to HTML5 and CSS3,Development,/course/beginner-photoshop-to-html5-and-css3/
22169,Java Multithreading,Development,/course/java-multithreading/
24823,Java Tutorial for Complete Beginners,Development,/course/java-tutorial/
25584,Learn Android 4.0 Programming in Java,Development,/course/android-tutorial/
26433,Become a Paid Life Coach Online,Teaching & Academics,/course/become-a-life-coach/
26092,Todo sobre Excel - De conocimientos básicos a profesionales,Office Productivity,/course/curso-excel-2010/
28258,User Experience (UX): The Ultimate Guide to Usability and UX,Design,/course/ultimate-guide-to-ux/
28788,Business English Course for ESL Students,Teaching & Academics,/course/business-english-course-for-esl-students/
28903,Novel Writing Workshop,Business,/course/novelwriting/
32862,TOEFL iBT (26+) Complete Preparation Course!,Teaching & Academics,/course/toefl-ibt-online-preparation-course/
