id,title,category,language,instructor_name
9287,Microsoft Excel 2010 Course Beginners/ Intermediate Training,Office Productivity,English,Infinite Skills
9711,Beginner PHP and MySQL Tutorial,Development,English,Infinite Skills
10449,"Spanish 1-4: Beginner, Elementary, Intermediate and Advanced",Teaching & Academics,English,Simple3 L
10812,CCNA 2020 200-125 Video Boot Camp With Chris Bryant,IT & Software,English,Chris Bryant
11331,SEO Training Course by Moz,Marketing,English,Moz moz
12248,"Copywriting - Become a Freelance Copywriter, your own boss",Marketing,English,Len Smith
13034,Operations Management,Business,English,Gad Allon
13019,Foundations of Business Strategy,Business,English,Michael Lenox
13391,The Neuroscience of Reframing & How to Do It,Teaching & Academics,English,Anette Prehn
15392,Photography - Become a Better Photographer - Part I,Photography & Video,English,Bernie Raffe AMPA
15639,Photoshop for Web Design Beginners,Design,English,Carl Heaton
15794,How to Create an Awesome Online Course,Teaching & Academics,English,Miguel Hernandez
16429,CCNP All-in-1 Video Boot Camp With Chris Bryant,IT & Software,English,Chris Bryant
16799,Photoshop Master Course: From Beginner to Photoshop Pro,Design,English,Manfred Werner
17349,Figure Drawing From Life Using The Reilly Technique.,Design,English,Donelli DiMaria
18237,Java Swing (GUI) Programming: From Beginner to Expert,Development,English,John Purcell
18617,Learn Salesforce in easy steps and get certified!,IT & Software,English,Parikshith Red
19332,The Complete 2020 Fullstack Web Developer Course,Development,English,Kalob Taulien
19645,Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.,Personal Development,English,Alexa Fischer
20176,Social Media Management,Marketing,English,Eric Schwartzman
20365,SAP ABAP Programming For Beginners - Online Training,Office Productivity,English,Peter Moxon
20869,SEO Training,Marketing,English,Eric Schwartzman
21386,Beginner Photoshop to HTML5 and CSS3,Development,English,Carl Heaton
22169,Java Multithreading,Development,English,John Purcell
24823,Java Tutorial for Complete Beginners,Development,English,John Purcell
25584,Learn Android 4.0 Programming in Java,Development,English,John Purcell
26433,Become a Paid Life Coach Online,Teaching & Academics,English,Jeffrey Sooey
28258,User Experience (UX): The Ultimate Guide to Usability and UX,Design,English,David Travis
28788,Business English Course for ESL Students,Teaching & Academics,English,Shayna Oliveira
28903,Novel Writing Workshop,Business,English,Steve Alcorn
32939,Astronomy - State of the Art,Teaching & Academics,English,Chris Impey
33002,SAP SD Training - in Plain English,Office Productivity,English,Siva Prasad
34268,QMS Auditor / Lead Auditor Course,Business,English,"Sandeep Kumar, ­ Quality Gurus Inc."
38034,Learning How to Learn From Video Courses,Personal Development,English,Katya Seberson
38282,Photography: Ditch Auto - Start Shooting in Manual,Photography & Video,English,Jerad Hill
39115,Java Design Patterns and Architecture,Development,English,John Purcell
39292,Microsoft Excel 2013  Advanced. Online Excel Training Course,Office Productivity,English,Infinite Skills
40017,Web Hosting 101: Get Your Website Live on the Web in No Time,Design,English,Brad Hussey
41305,Learn SAP Course - Online Beginner Training,Office Productivity,English,Peter Moxon
41884,Acoustic Guitar and Electric Guitar Lessons: Getting Started,Music,English,Erich Andreas
41295,Learn HTML5 Programming From Scratch,Development,English,Eduonix Learning Solutions
42271,Complete Guitar Lessons System - Beginner to Advanced,Music,English,Erich Andreas
43319,Options Trading Basics (3-Course Bundle),Finance & Accounting,English,Hari Swaminathan
43718,C++: From Beginner to Expert,Development,English,Arkadiusz Włodarczyk
43540,Critical Thinker Academy: Learn to Think Like a Philosopher,Teaching & Academics,English,Kevin deLaplante
44058,Salary Negotiation: Learn the Negotiation Mindset,Business,English,Jim Hopkinson
45229,Tech Basics: Cables & Connectors,IT & Software,English,Chet Davis
46912,How To Become a Bestselling Author on Amazon Kindle,Business,English,Tom Corson-Knowles
47285,Mind Mapping Mastery –> Effective Mind Maps -> Step by Step,Personal Development,English,Barry Mapp
48841,Accounting in 60 Minutes - A Brief Introduction,Finance & Accounting,English,Vincent Turner
49250,Microsoft Excel - From Beginner to Expert in 6 Hours,Office Productivity,English,Todd McLeod
49886,Business Analysis:  Working with Use Cases,Finance & Accounting,English,Don Hussey
51133,Database Design Introduction,Development,English,Intellezy Trainers
53600,Useful Excel for Beginners,Office Productivity,English,Dinesh Natarajan Mohan
53670,Selenium 4 WebDriver with Java(Basics + Advance + Architect),Development,English,Rahul Arora
58207,User Experience Design Fundamentals,Design,English,Joe Natoli
59527,"Reiki Level I, II and Master/Teacher Program",Lifestyle,English,Lisa Powers
60344,Programming for Kids - How to Make Coding Fun,Development,English,Fractus Learning
60346,New CCNAx 200-125 Routing and Switching,IT & Software,English,sikandar Shaik
62109,Computer Forensics Fundamentals,IT & Software,English,John Boyle
62606,American Sign Language Level 1,Teaching & Academics,English,Intellezy Trainers
62721,Anatomy for Figure Drawing: Mastering the Human Figure,Design,English,Neil Fontaine
62768,Complete Wordpress Training For Beginners,Design,English,Eduonix Learning Solutions
64143,Certificate in Ericksonian Hypnotherapy (Hypnosis Training),Lifestyle,English,Dan Jones
64422,1 Hour HTML,Development,English,John Bura
65306,Adobe Illustrator: Mastering the Fundamentals,Design,English,[ School of Game Design ]
65330,Web Development By Doing: HTML / CSS From Scratch,Development,English,Bradley Berger
65618,Mastering Modbus RS485 Network Communication,IT & Software,English,Emile Ackbarali
65830,The Java Spring Tutorial: Learn Java's Popular Web Framework,Development,English,John Purcell
70030,Elite Singing Techniques - Phase I,Music,English,Eric Arceneaux
71688,Adobe Illustrator CC Tutorial - Training Taught By Experts,Design,English,Infinite Skills
74092,Job Interview Skills Training Course,Personal Development,English,"TeachUcomp, Inc."
