user_id,display_name,course_id,rate
27767,Venkateswara rao,1458490,3.9
8336,Felipe Rodriguez,1248866,3.6
6232,Derli,1623098,1.4
20471,Padmaraj,1278112,2.1
19649,Noha Aly,946194,4.7
18083,Mohammad Ahmad,851712,4.6
24961,Shubhrajyoti,1458304,4.4
15998,MARKPAUL AURA,647428,1.8
26979,Tomass,1282020,2.4
27054,Tracy Y,585072,4.8
27311,Uki,293170,4.6
14322,Kimberley Susan,1029442,5.0
5564,Daffa,2144744,4.7
7539,Emaan,1137162,4.4
7373,Elane,1331661,3.5
18808,NAVYA,874012,3.4
25638,Stephen Edward,2650928,4.1
6133,Deli,533682,4.3
19461,Nicos,42271,2.1
26240,Takisha,1362218,2.1
18396,Mr Paul,779842,4.3
22578,Richard Alan,866196,4.5
4293,Carlo Vincie,613808,4.0
24867,Shivaraju,2394982,4.7
7951,Euston,1302896,4.8
7978,Everhardt,632826,3.9
14356,Kiranmayee,1661222,4.7
21826,Raido,1343556,4.9
10751,Ibtesam,567366,4.4
4522,Carrie-ann,1565556,5.1
5077,Chrysostomos,690066,3.9
24105,Sasi Kanth,1993718,1.9
978,Akinleye,1333640,4.9
30484,오세형,1464836,2.1
1242,Alessandro Giuseppe,484606,2.7
19095,Nathan da Silva,1527300,4.4
17994,Mmaphuti,516446,2.1
19010,Naomi Sammy,1401738,3.3
7469,Eliz,2165246,4.3
18204,Mohd Abul Heyat,648826,4.1
24609,Shankar Narayana,356030,4.4
1511,Allain,826876,2.6
19192,Nceba,466736,2.3
28434,Weimin,762616,4.5
25009,Sias,1219332,4.9
908,Ajamu Bamidele,802576,4.5
21902,Rakefet,110240,2.1
14688,LARIE,225022,2.2
18282,Monjit,781532,4.4
10555,Hsien,2265622,3.5
3691,Blank,949766,2.3
15419,Lord Wilfrando,2500248,3.8
3273,Barry J,1336872,3.7
26052,Syed Fahad,1253188,2.9
9720,Guillermo Palacios,775346,4.8
12158,Jho,611370,5.1
13773,Kameliya,806922,3.5
104,ANKUSH,937678,4.7
18551,Muhiya Guellord,3142166,4.0
18086,Mohammad Aquib,3142166,4.3
3724,Boglárka,13034,3.5
27850,Victor D.,1462428,4.1
9321,Gguillot,1202988,4.0
30473,馮哲旗,857010,4.3
6835,Dr. Martina,1299614,2.3
18000,Mobarak,636822,4.9
6140,Delinda,393268,4.4
29275,Zait,1194706,4.2
25034,Siddiqua,1686164,4.7
28060,Vinz,1362070,3.8
18320,Morgan Gnanasekhran,563066,4.7
14262,Khine Soe,543600,3.6
29060,Yolanda Moreira,821658,3.0
4254,Canute,1419182,3.8
18098,Mohammad Iqbal,2701028,4.1
15423,Lorelle,838056,4.5
25149,Sindhusha,2776760,4.1
30038,sherry,1360446,3.9
25263,Sk Aliv,1670116,3.6
10399,Hexa,756150,4.2
26447,Tazeem,2196488,3.0
20575,Parmeshwar Kumar,740562,2.1
14143,Kerris,836842,4.5
19520,Nilesh R,692188,4.7
22616,Ridel,2068149,3.7
29699,herve,1147828,4.1
16494,Maraj,466000,3.2
20204,Osato,74092,2.1
9441,Girish Kumar Reddy,742114,2.1
12021,Jesenia,450394,2.7
10105,Harleigh,764164,4.4
14887,Laurentz,874012,4.2
25915,Sureshraj,1443424,4.8
26267,Tamari,2246852,5.0
25025,Siddalinga swamy,914296,4.5
10911,Indronil,543600,4.4
14894,Laurinda,1014236,4.2
15277,Lina M,1177664,3.6
29162,Yukesh,1426514,1.8
3868,Brian C.,437490,2.1
9357,Gica,2196488,4.1
23799,Sameet,352440,4.0
22066,Rany,765242,4.2
4108,CA,321410,4.3
29773,junaid,146156,3.8
23618,Sagar R,950390,4.6
21532,R.H.,625204,1.8
16075,Maarja,157842,4.4
16852,Marie-Theres,1119356,3.1
21981,Ramir,833442,4.1
17401,Md Razaul,1879018,4.0
6258,Dessa,2634490,3.8
948,Akarat,1362070,4.5
8014,Ezequiel A.,692188,4.9
1395,Alfonso Miguel,437398,4.2
